Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
43012574d4,43012574d4,Nickel,Nickel,1,20,20,125b,125b
43012574d4,43012574d4,Nickel,Nickel,1,28,21,125b,125b
0f1b7d028f,0f1b7d028f,Brass,Brass,1,28,1,125b,125b
0f1b7d028f,0f1b7d028f,Brass,Brass,1,24,1,125b,125b
a3b1085bea,a3b1085bea,Brass,Nickel,1,18,1,125b,125b
a3b1085bea,a3b1085bea,Nickel,Brass,1,16,0,125b,125b
3443ea5ba5,3443ea5ba5,Brass,Brass,1,13,1,125b,125b
3443ea5ba5,3443ea5ba5,Brass,Brass,1,30,1,125b,125b
21664540e1,21664540e1,Brass,Brass,1,28,2,125b,125b
21664540e1,21664540e1,Brass,Brass,1,20,2,125b,125b
a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,23,1,125b,125b
a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,26,1,125b,125b
90d6397a11,90d6397a11,Brass,Brass,1,16,7,125b,125b
90d6397a11,90d6397a11,Brass,Brass,1,42,8,125b,125b
633fbb7de1,633fbb7de1,Nickel,Nickel,1,30,22,125b,125b
633fbb7de1,633fbb7de1,Nickel,Nickel,1,30,24,125b,125b
3a2a75a851,3a2a75a851,Brass,Brass,1,26,2,125b,125b
3a2a75a851,3a2a75a851,Brass,Brass,1,19,1,125b,125b
803e2e304c,803e2e304c,Brass,Nickel,1,20,1,125b,125b
803e2e304c,803e2e304c,Nickel,Brass,1,26,2,125b,125b
a404412c4e,a404412c4e,Nickel,Brass,1,26,3,125b,125b
a404412c4e,a404412c4e,Brass,Nickel,1,20,1,125b,125b
b18136930a,b18136930a,Nickel,Nickel,1,26,10,125b,125b
b18136930a,b18136930a,Nickel,Nickel,1,20,11,125b,125b
ef4d4aee2a,ef4d4aee2a,Nickel,Brass,1,26,1,125b,125b
ef4d4aee2a,ef4d4aee2a,Brass,Nickel,1,23,1,125b,125b
d5070cee0f,d5070cee0f,Nickel,Brass,1,26,16,125b,125b
d5070cee0f,d5070cee0f,Brass,Nickel,1,16,9,125b,125b
