Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
b70d,b70d,b70daf2149,b70daf2149,Brass,Brass,1,13,42
b70d,b70d,b70daf2149,b70daf2149,Brass,Brass,1,14,36
77d9,77d9,77d984eb8b,77d984eb8b,Brass,Nickel,1,27,36
77d9,77d9,77d984eb8b,77d984eb8b,Nickel,Brass,1,27,36
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,22,36
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,26,36
9645,9645,9645e12969,9645e12969,Brass,Nickel,1,30,36
9645,9645,9645e12969,9645e12969,Nickel,Brass,1,31,36
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,19,32
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,19,32
eb19,eb19,eb19c4c309,eb19c4c309,Nickel,Nickel,1,24,36
eb19,eb19,eb19c4c309,eb19c4c309,Nickel,Nickel,1,23,36
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,31,36
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,29,36
8c82,8c82,8c82f237f9,8c82f237f9,Brass,Nickel,1,32,38
8c82,8c82,8c82f237f9,8c82f237f9,Nickel,Brass,1,36,44
c2b7,c2b7,c2b72ec5bb,c2b72ec5bb,Nickel,Brass,1,18,36
c2b7,c2b7,c2b72ec5bb,c2b72ec5bb,Brass,Nickel,1,19,36
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,28,32
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,29,32
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,4,32
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,9,36
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,13,36
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,15,30
f48f,f48f,f48f13c8d2,f48f13c8d2,Nickel,Brass,1,15,30
f48f,f48f,f48f13c8d2,f48f13c8d2,Brass,Nickel,1,16,31
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,13,32
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,17,38
1318,1318,13189e401d,13189e401d,Nickel,Brass,1,17,36
1318,1318,13189e401d,13189e401d,Brass,Nickel,1,17,36
b92f,b92f,b92f20bb93,b92f20bb93,Brass,Nickel,1,15,27
b92f,b92f,b92f20bb93,b92f20bb93,Nickel,Brass,1,17,27
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,9,36
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,8,31
c2fa,c2fa,c2fa87aa95,c2fa87aa95,Nickel,Brass,1,7,36
c2fa,c2fa,c2fa87aa95,c2fa87aa95,Brass,Nickel,1,5,36
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,23,36
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,21,32
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,25,42
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,24,34
554c,554c,554cd2f9ad,554cd2f9ad,Brass,Nickel,1,15,36
554c,554c,554cd2f9ad,554cd2f9ad,Nickel,Brass,1,19,36
a954,a954,a9542eafb6,a9542eafb6,Nickel,Brass,1,7,32
a954,a954,a9542eafb6,a9542eafb6,Brass,Nickel,1,6,36
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,22,36
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,26,42
2753,2753,275310424a,275310424a,Brass,Nickel,1,15,36
2753,2753,275310424a,275310424a,Nickel,Brass,1,16,36
dd8d,dd8d,dd8d33227f,dd8d33227f,Nickel,Brass,1,12,36
dd8d,dd8d,dd8d33227f,dd8d33227f,Brass,Nickel,1,8,30
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,10,33
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,7,34
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,18,30
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,16,26
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,25,36
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,24,36
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,31,36
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,31,36
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,17,31
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,15,36
